mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0332030455271403,0.012657130373688215,0.0009846687316894531,0.00012055731580806101,0.01,3,10,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.5}",0.9060402684563759,0.9010067114093959,0.9092436974789916,0.9054302257815877,0.00339028995087197,23
0.023633480072021484,0.0012971524421341325,0.0010302066802978516,8.919935493263162e-05,0.01,3,10,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.7}",0.9060402684563759,0.8993288590604027,0.9243697478991597,0.9099129584719794,0.010583314680082128,22
0.018979708353678387,0.0013921360032683335,0.0013210773468017578,0.0002569308021375525,0.01,3,10,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.9043624161073825,0.9026845637583892,0.8941176470588236,0.900388208974865,0.004486554519408597,24
0.05560175577799479,0.010545146439300674,0.0011010169982910156,0.00016510424917957374,0.01,3,50,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5}",0.9093959731543624,0.9177852348993288,0.9176470588235294,0.9149427556257401,0.0039225731346969155,17
0.04881699879964193,0.006966466395420327,0.0012537638346354167,0.00046378071730440414,0.01,3,50,0.7,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",0.9077181208053692,0.9144295302013423,0.9243697478991597,0.9155057996352903,0.006840464805771751,16
0.05581808090209961,0.0017210870425569639,0.0009756088256835938,6.053766514157954e-05,0.01,3,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.9093959731543624,0.9177852348993288,0.907563025210084,0.911581411087925,0.004450130856039609,21
0.020127534866333008,0.0009826786676474966,0.0010880629221598308,0.00021854912150636588,0.01,5,10,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.5}",0.9060402684563759,0.9261744966442953,0.9361344537815126,0.922783072960728,0.012517755750586584,11
0.015973011652628582,0.0015147060930499334,0.0010613600413004558,0.0002581028650201431,0.01,5,10,0.7,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.7}",0.9211409395973155,0.9228187919463087,0.9310924369747899,0.925017389506138,0.004349976891588891,10
0.017240047454833984,0.0005778039053367666,0.0006752808888753256,4.574710740869787e-05,0.01,5,10,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.9093959731543624,0.9093959731543624,0.9226890756302522,0.9138270073129924,0.0062664286024728955,18
0.06743391354878743,0.003529353695638349,0.001005093256632487,4.526786924729739e-05,0.01,5,50,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.5}",0.9144295302013423,0.9194630872483222,0.9327731092436975,0.9222219088977873,0.0077386495674181335,14
